strategy,label,cash_wan,terminal_inventory_kwh
F_fast,F-fast,1377.6041144072085,8264.385129814937
Z1_000_none,Z1 / 000,1361.2328298080693,8264.38515241917
Z1_010_amend,Z1 / 010,1359.618483601445,8264.385152419169
Z1_011_amend,Z1 / 011,1356.3426240081876,8264.385152419169
Z1_111_amend,Z1 / 111,1354.980835054573,8264.38515241917
Z2_110_amend,Z2 / 110,1353.8080945790662,8303.264540073993
Z2_111_amend,Z2 / 111,1350.3176372948785,8303.866854888813
