path,original_yuan,mean_component_yuan,covariance_component_yuan,repriced_yuan,reoptimization_delta_yuan,final_yuan,original_terminal_inventory_kwh,final_terminal_inventory_kwh
问题二 → 4-2,13776041.144072086,-82286.75471508024,821894.8947349715,14515649.284091976,-82393.32573538274,14433255.958356593,8264.385129814937,6027.215734524098
问题三 → 4-3,13503176.372948786,-77014.25400675074,803630.171143436,14229792.290085468,-81512.27206001617,14148280.018025452,8303.866854888813,6134.9226842429525
